task,file,filesize,status,memory,params,cost,score,error
task241,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task241.onnx,170,ok,0,0,1.0,25.0,
task179,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task179.onnx,170,ok,0,0,1.0,25.0,
task276,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task276.onnx,217,ok,0,10,10.0,22.697414907005953,
task337,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task337.onnx,159,ok,0,10,10.0,22.697414907005953,
task309,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task309.onnx,217,ok,0,10,10.0,22.697414907005953,
task016,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task016.onnx,158,ok,0,10,10.0,22.697414907005953,
task116,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task116.onnx,479,ok,0,30,30.0,21.598802618337846,
task311,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task311.onnx,479,ok,0,30,30.0,21.598802618337846,
task164,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task164.onnx,479,ok,0,30,30.0,21.598802618337846,
task053,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task053.onnx,175,ok,0,30,30.0,21.598802618337846,
task210,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task210.onnx,479,ok,0,30,30.0,21.598802618337846,
task113,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task113.onnx,499,ok,0,30,30.0,21.598802618337846,
task385,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task385.onnx,175,ok,0,30,30.0,21.598802618337846,
task172,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task172.onnx,479,ok,0,30,30.0,21.598802618337846,
task307,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task307.onnx,387,ok,0,40,40.0,21.311120545886062,
task223,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task223.onnx,587,ok,0,90,90.0,20.500190329669735,
task326,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task326.onnx,251,ok,160,0,160.0,19.924826184766175,
task258,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task258.onnx,880,ok,0,160,160.0,19.924826184766175,
task103,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task103.onnx,927,ok,155,34,189.0,19.758252984940356,
task261,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task261.onnx,995,ok,0,200,200.0,19.701682633451963,
task056,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task056.onnx,815,ok,136,77,213.0,19.638707834290575,
task149,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task149.onnx,764,ok,144,91,235.0,19.54041448585584,
task073,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task073.onnx,1397,ok,0,300,300.0,19.2962175253438,
task067,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task067.onnx,892,ok,282,33,315.0,19.247427361174367,
task186,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task186.onnx,888,ok,314,46,360.0,19.113895968549844,
task135,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task135.onnx,251,ok,360,0,360.0,19.113895968549844,
task140,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task140.onnx,394,ok,360,8,368.0,19.09191706183107,
task087,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task087.onnx,394,ok,360,8,368.0,19.09191706183107,
task144,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task144.onnx,1016,ok,384,17,401.0,19.00603857269343,
task393,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task393.onnx,1469,ok,450,6,456.0,18.877507190485613,
